sku,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,additional_images
9401039853239,SW18463M-Tapanui-Down-Jacket-full-side-front.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-half-front-zipped.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-half-front-zipped-Medium.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-full-side-front.jpg
9401039853239,,,,,,,SW18463M-Tapanui-Down-Jacket-half-front-unzipped.jpg
9401039853239,,,,,,,SW18463M-Tapanui-Down-Jacket-half-back.jpg
9401039853239,,,,,,,SW18463M-Tapanui-Down-Jacket-close-up-chest.jpg
9401039853246,SW18463M-Tapanui-Down-Jacket-full-side-front.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-half-front-zipped.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-half-front-zipped-Medium.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-full-side-front.jpg
9401039853246,,,,,,,SW18463M-Tapanui-Down-Jacket-half-front-unzipped.jpg
9401039853246,,,,,,,SW18463M-Tapanui-Down-Jacket-half-back.jpg
9401039853246,,,,,,,SW18463M-Tapanui-Down-Jacket-close-up-chest.jpg
9401039853253,SW18463M-Tapanui-Down-Jacket-full-side-front.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-half-front-zipped.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-half-front-zipped-Medium.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-full-side-front.jpg
9401039853253,,,,,,,SW18463M-Tapanui-Down-Jacket-half-front-unzipped.jpg
9401039853253,,,,,,,SW18463M-Tapanui-Down-Jacket-half-back.jpg
9401039853253,,,,,,,SW18463M-Tapanui-Down-Jacket-close-up-chest.jpg
9401039853260,SW18463M-Tapanui-Down-Jacket-full-side-front.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-half-front-zipped.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-half-front-zipped-Medium.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-full-side-front.jpg
9401039853260,,,,,,,SW18463M-Tapanui-Down-Jacket-half-front-unzipped.jpg
9401039853260,,,,,,,SW18463M-Tapanui-Down-Jacket-half-back.jpg
9401039853260,,,,,,,SW18463M-Tapanui-Down-Jacket-close-up-chest.jpg
9401039853277,SW18463M-Tapanui-Down-Jacket-full-side-front.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-half-front-zipped.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-half-front-zipped-Medium.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-full-side-front.jpg
9401039853277,,,,,,,SW18463M-Tapanui-Down-Jacket-half-front-unzipped.jpg
9401039853277,,,,,,,SW18463M-Tapanui-Down-Jacket-half-back.jpg
9401039853277,,,,,,,SW18463M-Tapanui-Down-Jacket-close-up-chest.jpg
9401039853284,SW18463M-Tapanui-Down-Jacket-full-side-front.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-half-front-zipped.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-half-front-zipped-Medium.jpg,Swanndri Men's Tapanui Light Weight Down Jacket,SW18463M-Tapanui-Down-Jacket-full-side-front.jpg
9401039853284,,,,,,,SW18463M-Tapanui-Down-Jacket-half-front-unzipped.jpg
9401039853284,,,,,,,SW18463M-Tapanui-Down-Jacket-half-back.jpg
9401039853284,,,,,,,SW18463M-Tapanui-Down-Jacket-close-up-chest.jpg
9401039118376,Ashcroft-half-back.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-front.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-front-Thumbnail.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-back.jpg
9401039118376,,,,,,,Ashcroft-Full-front.jpg
9401039118352,Ashcroft-half-back.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-front.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-front-Thumbnail.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-back.jpg
9401039118352,,,,,,,Ashcroft-Full-front.jpg
9401039118369,Ashcroft-half-back.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-front.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-front-Thumbnail.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-back.jpg
9401039118369,,,,,,,Ashcroft-Full-front.jpg
9401039118383,Ashcroft-half-back.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-front.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-front-Thumbnail.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-back.jpg
9401039118383,,,,,,,Ashcroft-Full-front.jpg
9401039118390,Ashcroft-half-back.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-front.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-front-Thumbnail.jpg,Swanndri Women's Ashcroft Softshell Vest,Ashcroft-half-back.jpg
9401039118390,,,,,,,Ashcroft-Full-front.jpg
9401039546629,baby-play-mat.jpg,Swanndri Baby Play Mat,baby-play-mat-folded.jpg,Swanndri Baby Play Mat,baby-play-mat-folded-thumbnail.jpg,Swanndri Baby Play Mat,baby-play-mat.jpg
9415080628951,Barn-Royal-Wheat-half-side.jpg,Swanndri Men's Barn 100% Cotton Long Sleeve Work Shirt,Barn-Royal-Wheat-half-front.jpg,Swanndri Men's Barn 100% Cotton Long Sleeve Work Shirt,Barn-Royal-Wheat-half-front-thumb-nail.jpg,Swanndri Men's Barn 100% Cotton Long Sleeve Work Shirt,Barn-Royal-Wheat-half-side.jpg
9415080628951,,,,,,,Barn-Royal-Wheat-close-up-pocket.jpg
9415080628951,,,,,,,Barn-Royal-Wheat-close-up-chest.jpg
9415080628975,Barn-Royal-Wheat-half-side.jpg,Swanndri Men's Barn 100% Cotton Long Sleeve Work Shirt,Barn-Royal-Wheat-half-front.jpg,Swanndri Men's Barn 100% Cotton Long Sleeve Work Shirt,Barn-Royal-Wheat-half-front-thumb-nail.jpg,Swanndri Men's Barn 100% Cotton Long Sleeve Work Shirt,Barn-Royal-Wheat-half-side.jpg
9415080628975,,,,,,,Barn-Royal-Wheat-close-up-pocket.jpg
9415080628975,,,,,,,Barn-Royal-Wheat-close-up-chest.jpg
9415080628999,Barn-Royal-Wheat-half-side.jpg,Swanndri Men's Barn 100% Cotton Long Sleeve Work Shirt,Barn-Royal-Wheat-half-front.jpg,Swanndri Men's Barn 100% Cotton Long Sleeve Work Shirt,Barn-Royal-Wheat-half-front-thumb-nail.jpg,Swanndri Men's Barn 100% Cotton Long Sleeve Work Shirt,Barn-Royal-Wheat-half-side.jpg
9415080628999,,,,,,,Barn-Royal-Wheat-close-up-pocket.jpg
9415080628999,,,,,,,Barn-Royal-Wheat-close-up-chest.jpg
9415080629019,Barn-Royal-Wheat-half-side.jpg,Swanndri Men's Barn 100% Cotton Long Sleeve Work Shirt,Barn-Royal-Wheat-half-front.jpg,Swanndri Men's Barn 100% Cotton Long Sleeve Work Shirt,Barn-Royal-Wheat-half-front-thumb-nail.jpg,Swanndri Men's Barn 100% Cotton Long Sleeve Work Shirt,Barn-Royal-Wheat-half-side.jpg
9415080629019,,,,,,,Barn-Royal-Wheat-close-up-pocket.jpg
9415080629019,,,,,,,Barn-Royal-Wheat-close-up-chest.jpg
